"Daily Weather Observations for Perth, Western Australia for July 2023"
"Prepared at 13:03 UTC on Tuesday 17 October 2023   IDCJDW6111.202307"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-07-1,1.3,17.7,0,1.4,9.2,N,26,13:34,7.9,87,0,ESE,6,1030.8,17.2,45,0,NE,9,1026.4
,2023-07-2,3.1,19.4,0,1.8,9.2,NNE,35,11:05,11.0,56,0,NE,13,1025.8,19.3,32,0,N,9,1021.2
,2023-07-3,7.7,18.5,0.2,3.4,0.7,SW,50,14:28,14.2,76,7,N,15,1012.8,14.4,99,7,WSW,20,1009.6
,2023-07-4,11.0,17.3,16.0,1.2,7.7,WSW,54,01:13,13.5,63,1,W,13,1009.8,16.2,52,2,WSW,22,1008.5
,2023-07-5,10.8,16.3,6.4,2.8,6.7,SW,46,11:24,14.1,58,1,SW,17,1011.7,15.6,57,3,SW,22,1013.1
,2023-07-6,9.8,17.9,3.6,2.4,4.4,SW,30,13:57,11.6,99,6,N,9,1020.4,17.3,60,5,WSW,13,1020.7
,2023-07-7,11.5,19.3,0.2,1.4,4.2,WSW,39,12:21,15.3,86,7,WSW,19,1024.5,17.6,68,6,WSW,11,1024.2
,2023-07-8,11.2,18.6,2.8,1.2,4.0,WNW,24,13:57,13.1,99,4,NNE,7,1028.0,17.8,68,7,WNW,11,1025.7
,2023-07-9,12.3,20.3,0.8,1.6,3.8,NW,31,14:08,13.4,87,8,NE,6,1025.1,18.6,60,7,NW,13,1022.6
,2023-07-10,12.8,18.7,0.6,1.6,0.1,WNW,26,12:58,14.2,85,7,NNE,6,1023.3,17.4,65,7,NNW,11,1020.8
,2023-07-11,10.1,19.9,0,0.8,7.8,WNW,31,12:49,12.7,87,3,N,7,1022.4,18.3,59,3,WNW,13,1020.4
,2023-07-12,12.5,20.9,0.2,1.4,8.4,NW,37,14:14,15.8,76,4,N,11,1021.5,20.1,64,2,NW,17,1018.0
,2023-07-13,15.2,19.5,3.8,2.6,1.7,WSW,37,00:53,16.6,95,8,WSW,9,1017.4,18.0,61,7,SW,13,1016.5
,2023-07-14,11.4,16.8,2.6,3.4,7.2,S,33,06:16,11.9,93,7,SSE,6,1024.0,16.1,44,1,S,13,1024.9
,2023-07-15,2.8,16.4,1.0,2.8,9.3,NE,28,10:20,9.1,77,0,E,9,1031.6,15.7,42,0,NE,9,1027.5
,2023-07-16,1.9,19.0,0,2.8,9.4,NNE,33,10:42,10.0,59,0,NE,9,1026.2,18.4,34,0,N,13,1022.1
,2023-07-17,6.8,20.7,0,1.0,4.9,NNE,17,12:31,11.8,69,7,NNE,7,1023.7,19.5,50,3,ESE,7,1020.9
,2023-07-18,7.6,19.4,0,0.8,1.5,NNW,41,13:58,13.6,52,7,N,9,1015.7,19.0,65,8,NW,13,1012.1
,2023-07-19,10.9,15.7,21.8,2.8,6.4,SW,56,08:28,11.7,73,7,SW,20,1014.3,14.9,48,4,SW,22,1017.5
,2023-07-20,7.6,17.0,1.0,2.0,5.7,NW,24,13:30,10.4,82,7,N,4,1025.3,16.6,70,6,NNW,9,1024.2
,2023-07-21,9.9,18.9,6.8,0.6,4.9,SW,39,13:08,12.4,99,2,NNE,9,1027.3,18.1,64,2,SW,17,1027.6
,2023-07-22,6.5,19.1,2.0,1.2,9.2,ENE,17,09:29,12.5,89,1,SSE,6,1035.5,18.6,50,0,E,6,1032.6
,2023-07-23,4.4,20.8,0,2.2,9.4,NE,20,10:57,11.3,76,0,E,7,1032.6,20.5,36,0,NE,7,1028.5
